Maintenance_ID,Location,Section_ID,Inspection_Date,Condition_Status,Damage_Type,Length_Affected_m,Repair_Action,Material_Used,Cost_Estimate_INR,Work_Status,Contractor/Agency,Next_Inspection_Date,Remarks
MWT001,Surat,Section-7,2025-06-21,Moderate,Settlement,430,Full Replacement,Composite Material,2024643,Planned,Govt Agency,2025-12-27,
MWT002,Diu,Section-4,2025-07-25,Needs Repair,Settlement,305,Patching,Composite Material,1431809,In Progress,Marine Infra Ltd,2025-11-10,Minor cracks observed
MWT003,Kandla,Section-12,2024-03-28,Critical,Cracks,39,Clearing Vegetation,Geo-bags,4469525,Completed,Marine Infra Ltd,2024-12-10,No major issue
MWT004,Diu,Section-16,2024-05-21,Good,Settlement,498,Clearing Vegetation,Concrete,4338998,Completed,Govt Agency,2024-09-12,Monitoring required
MWT005,Porbandar,Section-7,2024-01-07,Moderate,Erosion,242,Patching,Geo-bags,164699,Planned,Local Contractor,2024-06-29,Monitoring required
MWT006,Veraval,Section-8,2025-07-21,Critical,Erosion,59,Raising Wall,Steel Reinforcement,2086239,In Progress,Govt Agency,2025-12-18,No major issue
MWT007,Okha,Section-5,2023-08-10,Good,Scour,213,Raising Wall,Rock Boulders,4973503,Completed,Local Contractor,2024-03-26,Minor cracks observed
MWT008,Veraval,Section-6,2023-07-03,Moderate,Erosion,445,Full Replacement,Rock Boulders,4492420,In Progress,Local Contractor,2024-06-21,Monitoring required
MWT009,Bharuch,Section-17,2023-11-24,Needs Repair,Settlement,228,Full Replacement,Steel Reinforcement,1337924,Planned,Govt Agency,2024-09-30,No major issue
MWT010,Bhavnagar,Section-3,2024-02-04,Moderate,Vegetation Growth,161,Full Replacement,Geo-bags,4002623,In Progress,Local Contractor,2024-05-22,No major issue
MWT011,Ghogha,Section-18,2023-05-09,Critical,Wave Overtopping,12,Reinforcement,Rock Boulders,4483678,Planned,Coastal Dept,2024-04-09,Minor cracks observed
MWT012,Ghogha,Section-1,2024-07-31,Moderate,Erosion,192,Patching,Steel Reinforcement,3249111,Completed,Marine Infra Ltd,2025-06-18,No major issue
